epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.943,0.96606,2.31774,1.04666,0.71704,0.9227,0.79321,0.69389,0.59154,1.33209,0.88287,0.000298609,0.000298609,0.000298609
2,261.646,0.80976,0.91109,0.9846,0.85082,0.75344,0.93273,0.76186,0.65063,1.93053,0.9077,0.000589697,0.000589697,0.000589697
3,373.619,0.85802,0.84245,1.01043,0.86163,0.65996,0.72783,0.57554,0.67401,1.45291,0.96099,0.000868786,0.000868786,0.000868786
4,505.052,0.86001,0.75896,1.00343,0.79127,0.95238,0.84915,0.71592,0.59536,0.73507,0.93825,0.000855005,0.000855005,0.000855005
5,634.895,0.77912,0.65524,0.98955,0.93813,0.75699,0.87664,0.78175,0.49234,0.50495,0.87762,0.000837007,0.000837007,0.000837007
6,750.193,0.74498,0.60894,0.97097,0.67271,1,0.91148,0.81153,0.54459,0.54153,0.88018,0.000819009,0.000819009,0.000819009
7,876.356,0.70333,0.54284,0.95631,0.77613,0.95238,0.89986,0.79577,0.49853,0.43502,0.86014,0.000801011,0.000801011,0.000801011
8,1022.7,0.69222,0.53169,0.94913,0.83267,1,0.90036,0.82771,0.4405,0.38362,0.85174,0.000783013,0.000783013,0.000783013
9,1164.45,0.66263,0.49143,0.94963,0.91254,0.85714,0.88427,0.8003,0.4235,0.44407,0.8499,0.000765014,0.000765014,0.000765014
10,1292.48,0.63912,0.49046,0.94524,0.82042,1,0.88621,0.79554,0.50757,0.37346,0.86579,0.000747016,0.000747016,0.000747016
11,1405.75,0.64623,0.4824,0.94033,0.80343,1,0.87679,0.81975,0.39277,0.37495,0.8412,0.000729018,0.000729018,0.000729018
12,1537.03,0.61821,0.45802,0.92768,0.82415,1,0.87679,0.82497,0.38805,0.32134,0.83858,0.00071102,0.00071102,0.00071102
13,1662.3,0.60641,0.44942,0.92111,0.81124,1,0.86707,0.82229,0.34066,0.32183,0.82575,0.000693022,0.000693022,0.000693022
14,1814.17,0.59636,0.44114,0.92635,0.72975,1,0.85286,0.78461,0.39918,0.35447,0.83997,0.000675023,0.000675023,0.000675023
15,1937.98,0.60471,0.43066,0.91711,0.82785,1,0.87679,0.8196,0.40179,0.31676,0.82959,0.000657025,0.000657025,0.000657025
16,2064.76,0.56618,0.39578,0.90489,0.79651,1,0.88464,0.82593,0.39601,0.31866,0.82503,0.000639027,0.000639027,0.000639027
17,2179.62,0.55232,0.40062,0.91052,0.8309,1,0.89262,0.83867,0.37173,0.31198,0.82188,0.000621029,0.000621029,0.000621029
18,2293.16,0.57694,0.40169,0.91172,0.83032,1,0.91329,0.86926,0.34022,0.27781,0.81462,0.000603031,0.000603031,0.000603031
19,2409.59,0.55704,0.38558,0.90852,0.81512,1,0.86665,0.8164,0.35166,0.28668,0.81645,0.000585032,0.000585032,0.000585032
20,2530.25,0.53634,0.35586,0.90314,0.79235,1,0.92393,0.86971,0.31783,0.2871,0.81683,0.000567034,0.000567034,0.000567034
21,2658.88,0.53407,0.36822,0.89591,0.83024,1,0.94061,0.90735,0.3054,0.27054,0.8065,0.000549036,0.000549036,0.000549036
22,2790.06,0.52399,0.37109,0.89122,0.82041,1,0.90036,0.85356,0.30256,0.25784,0.81056,0.000531038,0.000531038,0.000531038
23,2912.07,0.51214,0.34638,0.89891,0.812,1,0.88924,0.84792,0.30095,0.25858,0.80801,0.00051304,0.00051304,0.00051304
