epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,219.218,0.72975,3.82021,1.16415,0.73288,0.6331,0.77622,0.65663,0.62442,1.25902,1.12543,5.54298e-05,5.54298e-05,5.54298e-05
2,436.35,0.70268,1.54726,1.11064,0.8332,0.94279,0.97197,0.80778,0.68668,0.63851,1.16144,0.000108347,0.000108347,0.000108347
3,657.659,0.71072,1.03619,1.11028,0.8787,0.95746,0.98083,0.80263,0.69086,0.509,1.21936,0.000158508,0.000158508,0.000158508
4,873.32,0.70717,0.87178,1.1028,0.91323,0.94264,0.98327,0.8204,0.67536,0.5128,1.15471,0.0001546,0.0001546,0.0001546
5,1089.63,0.68894,0.74305,1.08661,0.92512,0.96608,0.98764,0.82182,0.6652,0.42887,1.15305,0.000150467,0.000150467,0.000150467
6,1308.21,0.66292,0.69903,1.07937,0.94372,0.97084,0.98732,0.82601,0.65385,0.39312,1.15264,0.000146334,0.000146334,0.000146334
7,1524.18,0.6535,0.65028,1.06685,0.92329,0.96743,0.98478,0.82529,0.68174,0.41354,1.13385,0.0001422,0.0001422,0.0001422
8,1740.11,0.63731,0.60653,1.05294,0.92182,0.97911,0.98229,0.8294,0.65075,0.36656,1.13432,0.000138067,0.000138067,0.000138067
9,1959.11,0.63224,0.57528,1.05285,0.96603,0.98058,0.98871,0.833,0.66194,0.33292,1.12469,0.000133934,0.000133934,0.000133934
10,2174.98,0.61886,0.5621,1.04851,0.97677,0.9916,0.98954,0.83164,0.65271,0.32431,1.11905,0.000129801,0.000129801,0.000129801
11,2390.7,0.60005,0.50989,1.03485,0.96337,0.98098,0.98651,0.8276,0.65475,0.34331,1.12344,0.000125667,0.000125667,0.000125667
12,2605.8,0.5894,0.50218,1.03282,0.96921,0.98351,0.99152,0.84155,0.64546,0.30618,1.10986,0.000121534,0.000121534,0.000121534
13,2821.71,0.57845,0.51065,1.02552,0.96072,0.98972,0.98868,0.82917,0.65684,0.31694,1.11932,0.000117401,0.000117401,0.000117401
14,3037.14,0.56013,0.48399,1.01666,0.95771,0.98629,0.9877,0.83257,0.65615,0.32851,1.1311,0.000113268,0.000113268,0.000113268
15,3252.75,0.54306,0.46134,1.01075,0.96648,0.98525,0.99083,0.83935,0.66769,0.29375,1.13681,0.000109134,0.000109134,0.000109134
16,3468.46,0.53606,0.46593,1.00077,0.95463,0.9853,0.98676,0.84126,0.64624,0.30306,1.11652,0.000105001,0.000105001,0.000105001
17,3684.17,0.51189,0.44132,0.99541,0.98107,0.9879,0.99011,0.83124,0.6626,0.28205,1.13666,0.000100868,0.000100868,0.000100868
18,3899.53,0.50141,0.42775,0.98831,0.97655,0.99263,0.99201,0.84859,0.63401,0.27547,1.114,9.67347e-05,9.67347e-05,9.67347e-05
19,4117.36,0.49713,0.42251,0.9809,0.9776,0.99055,0.99152,0.84131,0.65547,0.28093,1.12398,9.26015e-05,9.26015e-05,9.26015e-05
20,4332.39,0.46741,0.39031,0.95858,0.97907,0.98916,0.98882,0.83835,0.64601,0.27745,1.13547,8.84683e-05,8.84683e-05,8.84683e-05
21,4547.72,0.45722,0.39737,0.9679,0.97781,0.989,0.9893,0.83883,0.6463,0.27907,1.13054,8.4335e-05,8.4335e-05,8.4335e-05
